X,Y
0,18
1,2
2,3
3,4
4,4
5,2
6,3
7,2
8,2
9,3
10,2
11,2
12,3
13,3
14,1
15,3
16,2
17,2
18,3
19,2
20,2
21,3
22,2
23,2
24,3
25,3
26,2
27,3
28,3
29,2
30,3
31,2
32,2
33,3
34,3
35,2
36,3
37,3
38,2
39,3
40,3
41,2
42,3
43,4
44,2
45,3
46,3
47,3
48,3
49,2
50,2
51,2
52,2
53,2
54,2
55,3
56,3
57,3
58,3
59,2
60,3
61,3
62,3
63,4
64,2
65,3
66,2
67,2
68,2
69,3
70,2
71,3
72,3
73,2
74,2
75,3
76,4
77,2
78,3
79,3
80,3
81,4
82,2
83,2
84,3
85,3
86,2
87,3
88,3
89,3
90,3
91,4
92,2
93,3
94,3
95,3
96,4
97,2
98,2
99,2
100,3
101,2
102,3
103,2
104,3
105,4
106,3
107,2
108,3
109,3
110,3
111,4
112,2
113,2
114,2
115,2
116,2
117,3
118,2
119,3
120,3
121,3
122,2
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,2
132,3
133,3
134,3
135,3
136,3
137,2
138,4
139,2
140,3
141,3
142,3
143,2
144,3
145,3
146,2
147,3
148,2
149,2
150,4
151,3
152,2
153,3
154,4
155,3
156,3
157,2
158,2
159,3
160,3
161,2
162,3
163,3
164,2
165,3
166,3
167,2
168,3
169,3
170,2
171,3
172,3
173,2
174,4
175,3
176,3
177,3
178,3
179,2
180,3
181,3
182,2
183,3
184,2
185,2
186,3
187,3
188,2
189,4
190,2
191,2
192,2
193,3
194,2
195,4
196,4
197,2
198,3
199,2
200,3
201,4
202,3
203,2
204,2
205,3
206,2
207,3
208,3
209,2
210,3
211,3
212,2
213,3
214,3
215,3
216,3
217,2
218,2
219,3
220,2
221,2
222,2
223,2
224,2
225,4
226,4
227,2
228,3
229,3
230,2
231,4
232,4
233,2
234,3
235,3
236,2
237,3
238,3
239,3
240,3
241,3
242,2
243,3
244,3
245,2
246,4
247,3
248,2
249,3
250,3
251,2
252,3
253,3
254,3
255,3
256,3
257,2
258,3
259,3
260,2
261,3
262,2
263,2
264,3
265,2
266,3
267,3
268,2
269,3
270,3
271,4
272,2
273,4
274,2
275,2
276,4
277,3
278,2
279,3
280,3
281,2
282,3
283,2
284,2
285,4
286,4
287,2
288,3
289,3
290,2
291,3
292,2
293,2
294,3
295,2
296,2
297,3
298,3
299,2
