X,Y
0,13
1,6
2,3
3,3
4,3
5,2
6,4
7,2
8,3
9,4
10,6
11,2
12,3
13,3
14,2
15,3
16,3
17,2
18,3
19,3
20,3
21,3
22,3
23,2
24,5
25,3
26,3
27,3
28,3
29,2
30,3
31,3
32,2
33,3
34,4
35,3
36,4
37,4
38,2
39,4
40,3
41,3
42,4
43,3
44,2
45,3
46,2
47,2
48,3
49,3
50,2
51,4
52,4
53,2
54,4
55,3
56,2
57,4
58,3
59,3
60,3
61,4
62,3
63,3
64,3
65,3
66,4
67,3
68,2
69,4
70,3
71,3
72,4
73,4
74,3
75,4
76,3
77,2
78,4
79,4
80,3
81,3
82,3
83,3
84,4
85,4
86,2
87,3
88,4
89,2
90,3
91,3
92,3
93,4
94,3
95,3
96,4
97,3
98,3
99,4
100,3
101,4
102,4
103,3
104,3
105,3
106,4
107,3
108,3
109,3
110,3
111,4
112,3
113,3
114,4
115,4
116,3
117,3
118,3
119,2
120,4
121,4
122,3
123,4
124,3
125,2
126,3
127,3
128,3
129,3
130,3
131,3
132,4
133,4
134,2
135,4
136,3
137,3
138,4
139,2
140,3
141,4
142,4
143,3
144,4
145,4
146,3
147,4
148,4
149,4
150,4
151,4
152,3
153,4
154,3
155,3
156,3
157,3
158,3
159,4
160,4
161,3
162,9
163,4
164,3
165,4
166,4
167,3
168,4
169,4
170,3
171,6
172,4
173,3
174,4
175,5
176,3
177,4
178,5
179,3
180,4
181,3
182,3
183,5
184,4
185,3
186,4
187,3
188,3
189,4
190,4
191,3
192,5
193,3
194,3
195,5
196,4
197,3
198,4
199,4
200,3
201,4
202,4
203,4
204,4
205,3
206,4
207,4
208,6
209,4
210,5
211,3
212,4
213,5
214,4
215,3
216,4
217,4
218,5
219,4
220,3
221,2
222,4
223,4
224,4
225,4
226,5
227,3
228,5
229,4
230,3
231,5
232,4
233,5
234,4
235,4
236,4
237,4
238,5
239,4
240,4
241,4
242,3
243,5
244,4
245,4
246,4
247,4
248,4
249,4
250,5
251,5
252,5
253,6
254,3
255,5
256,5
257,5
258,5
259,4
260,5
261,4
262,4
263,4
264,5
265,5
266,4
267,5
268,4
269,3
270,5
271,4
272,3
273,5
274,5
275,4
276,5
277,5
278,4
279,5
280,5
281,4
282,5
283,5
284,4
285,5
286,4
287,4
288,6
289,5
290,4
291,5
292,5
293,5
294,6
295,5
296,4
297,4
298,5
299,4
